id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
19,COMP_M,9,9_42,9_(41-42),81,77,23,23,9_41,62.15147058823529,678.6897528171796,740.8412234054149,678.6897528171796,678.6897528171796
19,COMP_M,9,9_43,9_(41-43),81,78,23,23,9_41,73.28529411764706,678.6897528171796,751.9750469348267,678.6897528171796,678.6897528171796
19,COMP_M,9,9_44,9_(41-44),81,84,23,23,9_41,50.72352941176471,678.6897528171796,729.4132822289444,678.6897528171796,678.6897528171796
19,COMP_M,9,9_45,9_(41-45),81,80,23,23,9_41,87.16176470588235,678.6897528171796,765.851517523062,678.6897528171796,678.6897528171796
13,COMP_M,7,7_33,7_(30-33),57,60,4,1,7_30,30.727087576374746,683.1137336818575,713.8408212582323,677.1136300882041,683.1137336818575
20,COMP_M,6,6_28,6_(26-28),53,55,3,38,6_26,44.95454545454545,700.3085793106466,745.2631247651921,690.3084622557266,700.3085793106466
20,COMP_M,6,6_27,6_(26-27),53,54,3,25,6_26,53.3052738336714,702.3086144744466,755.613888308118,690.3084622557266,702.3086144744466
21,COMP_M,4,4_20,4_(19-20),46,43,22,22,4_19,59.51264980026631,706.641901847975,766.1545516482413,706.641901847975,706.641901847975
21,COMP_M,4,4_22,4_(19-22),46,45,22,22,4_19,66.62183754993342,706.641901847975,773.2637393979084,706.641901847975,706.641901847975
21,COMP_M,4,4_21,4_(19-21),46,48,22,48,4_19,65.28987194412107,718.6420262062151,783.9318981503361,706.641901847975,718.6420262062151
17,COMP_M,0,0_1,0_(0-1),15,16,12,12,0_0,110.49900199600799,719.91425399162,830.413255987628,719.91425399162,719.91425399162
13,COMP_M,7,7_31,7_(30-31),57,58,4,38,7_30,81.99675324675324,719.9264099021794,801.9231631489326,677.1136300882041,681.1136844332041
15,COMP_M,7,7_32,7_(31-32),58,67,38,8,7_31,77.58790436005626,723.926460416366,801.5143647764223,719.9264099021794,723.926460416366
