id,type,src,dst,app,latency,message,ctime,size,buffer
116,LINK,3,11,8,4.000045593813334,M.USER.APP.8,3474.0000455938134,3419536,0
117,LINK,40,28,4,4.0000454646,M.USER.APP.4,3476,3409845,1
117,LINK,28,5,4,5.0000454646,M.USER.APP.4,3480.0000454646,3409845,0
111,LINK,19,7,4,4.000027032986667,4_(19-20),3482.4236043618434,2027474,1
111,LINK,19,18,4,2.0000245025733334,4_(19-22),3482.4236043618434,1837693,2
111,LINK,18,36,4,3.0000245025733334,4_(19-22),3484.423628864417,1837693,2
117,LINK,5,4,4,3.0000454646,M.USER.APP.4,3485.0000909292003,3409845,2
111,LINK,7,4,4,3.0000270329866665,4_(19-20),3486.42363139483,2027474,2
112,LINK,1,0,7,4.000049502466666,7_(29-30),3490.745475527715,3712685,0
112,LINK,0,4,7,2.0000495024666667,7_(29-30),3494.7455250301814,3712685,0
117,LINK,4,5,4,3.0000245025733334,4_(19-22),3535.495506764171,1837693,0
117,LINK,5,36,4,4.000024502573333,4_(19-22),3538.4955312667444,1837693,0
112,LINK,4,38,7,4.000054345,7_(30-31),3539.9296023104257,4075875,1
112,LINK,4,0,7,2.0000517968266665,7_(30-33),3539.9296023104257,3884762,2
112,LINK,0,1,7,4.000051796826667,7_(30-33),3541.929654107252,3884762,2
118,LINK,22,3,0,4.000041167466667,M.USER.APP.0,3544,3087560,1
118,LINK,3,12,0,4.000041167466667,M.USER.APP.0,3548.000041167467,3087560,0
114,LINK,49,3,7,5.000049502466666,7_(29-30),3548.1979521918047,3712685,1
114,LINK,3,2,7,2.0000495024666667,7_(29-30),3553.198001694271,3712685,0
114,LINK,2,4,7,4.000049502466666,7_(29-30),3555.1980511967377,3712685,0
119,LINK,6,4,4,3.0000454646,M.USER.APP.4,3561,3409845,0
113,LINK,12,10,3,3.0000550610666665,3_(13-14),3570.8025309153945,4129580,0
113,LINK,10,37,3,4.000055061066667,3_(13-14),3573.802585976461,4129580,0
120,LINK,46,19,3,4.000033926453334,M.USER.APP.3,3591,2544484,0
120,LINK,19,7,3,4.000033926453334,M.USER.APP.3,3595.0000339264534,2544484,0
120,LINK,7,3,3,4.000033926453334,M.USER.APP.3,3599.000067852907,2544484,0
114,LINK,4,38,7,4.000054345,7_(30-31),3602.382128476982,4075875,1
114,LINK,4,0,7,2.0000517968266665,7_(30-33),3602.382128476982,3884762,2
120,LINK,3,12,3,4.000033926453334,M.USER.APP.3,3603.00010177936,2544484,2
121,LINK,6,4,9,3.0000234674133335,M.USER.APP.9,3604,1760056,3
114,LINK,0,1,7,4.000051796826667,7_(30-33),3604.3821802738084,3884762,3
121,LINK,4,23,9,4.0000234674133335,M.USER.APP.9,3607.0000234674135,1760056,2
119,LINK,4,5,4,3.0000245025733334,4_(19-22),3611.4954158349706,1837693,0
119,LINK,5,36,4,4.000024502573333,4_(19-22),3614.495440337544,1837693,0
122,LINK,6,4,2,3.0000489953466665,M.USER.APP.2,3618,3674651,1
123,LINK,46,19,4,4.0000454646,M.USER.APP.4,3618,3409845,2
124,LINK,30,1,7,3.00005801244,M.USER.APP.7,3618,4350933,3
122,LINK,4,5,2,3.0000489953466665,M.USER.APP.2,3621.000048995347,3674651,2
122,LINK,5,8,2,4.000048995346667,M.USER.APP.2,3624.0000979906936,3674651,0
112,LINK,38,10,7,2.0000252570933332,7_(31-32),3625.926409902179,1894282,1
112,LINK,38,4,7,4.000057682466666,7_(31-35),3625.926409902179,4326185,2
112,LINK,10,8,7,2.0000252570933332,7_(31-32),3627.9264351592724,1894282,2
122,LINK,8,25,2,4.000048995346667,M.USER.APP.2,3628.0001469860404,3674651,2
112,LINK,4,11,7,3.0000576824666667,7_(31-35),3629.9264675846457,4326185,1
112,LINK,11,48,7,3.0000576824666667,7_(31-35),3632.9265252671125,4326185,0
113,LINK,37,36,3,2.00002022292,3_(14-15),3668.191056710441,1516719,0
113,LINK,37,36,3,2.00002831144,3_(14-16),3668.191056710441,2123358,1
113,LINK,36,18,3,3.00002022292,3_(14-15),3670.191076933361,1516719,1
113,LINK,36,18,3,3.00002831144,3_(14-16),3672.191105244801,2123358,1
123,LINK,19,7,4,4.000027032986667,4_(19-20),3673.4236043618434,2027474,1
123,LINK,19,18,4,2.0000245025733334,4_(19-22),3673.4236043618434,1837693,2
123,LINK,18,36,4,3.0000245025733334,4_(19-22),3675.423628864417,1837693,2
